date,index_code,open,high,low,close,volume
2020-05-18,HNXINDEX,109.03,109.51,106.39,108.54,51200406
2020-05-19,HNXINDEX,108.54,110.38,108.18,108.83,58347846
2020-05-20,HNXINDEX,108.83,108.83,106.48,106.94,43391387
2020-05-21,HNXINDEX,105.2,106.33,104.66,105.74,71805288
2020-05-22,HNXINDEX,105.74,107.7,105.09,107.04,67033693
2020-05-25,HNXINDEX,107.05,109.36,107.05,109.15,43872374
2020-05-26,HNXINDEX,109.15,110.67,108.14,110.49,60723593
2020-05-27,HNXINDEX,110.49,111.55,108.54,108.89,58125495
2020-05-28,HNXINDEX,108.87,110.34,108.8,109.64,39255921
2020-05-29,HNXINDEX,109.64,109.85,108.88,109.81,49614751
2020-06-01,HNXINDEX,109.83,114.18,109.53,114.14,78682828
2020-06-02,HNXINDEX,114.14,116.37,113.23,113.64,76887589
2020-06-03,HNXINDEX,113.64,116.51,113.61,116.49,56634266
2020-06-04,HNXINDEX,116.48,117.89,116.48,117.42,65089386
2020-06-05,HNXINDEX,117.51,118.08,116.35,118.08,67376517
2020-06-08,HNXINDEX,118.14,120.68,118.14,120.1,102287647
2020-06-09,HNXINDEX,120.1,120.56,118.88,120.13,79378595
2020-06-10,HNXINDEX,120.13,121.06,118.85,120.68,72813348
2020-06-11,HNXINDEX,120.62,121.96,116.04,116.06,118261640
2020-06-12,HNXINDEX,116.07,116.96,111.92,116.91,80381905
2020-06-15,HNXINDEX,116.91,117.46,113.32,113.82,81916109
2020-06-16,HNXINDEX,113.82,116.16,113.82,115.49,60932793
2020-06-17,HNXINDEX,115.94,115.96,113.27,113.27,70258860
2020-06-18,HNXINDEX,113.27,113.29,112.03,112.74,48278656
2020-06-19,HNXINDEX,112.74,115.39,112.74,115.36,48015798
2020-06-22,HNXINDEX,115.36,116.46,114.53,114.72,57426959
2020-06-23,HNXINDEX,114.73,115.71,114.01,114.63,66879459
2020-06-24,HNXINDEX,114.63,115.7,113.57,113.7,51814711
2020-06-25,HNXINDEX,113.69,114.07,112.51,114.07,57783476
2020-06-26,HNXINDEX,114.06,115.32,113.26,113.45,50288838
2020-06-29,HNXINDEX,113.42,113.42,109.53,110.32,53405130
2020-06-30,HNXINDEX,110.34,111.83,107.94,109.76,57552636
2020-07-01,HNXINDEX,109.74,112.01,108.83,111.69,33105247
2020-07-02,HNXINDEX,111.69,112.47,111.23,111.61,24023970
2020-07-03,HNXINDEX,111.61,112.29,111.39,111.55,31477377
2020-07-06,HNXINDEX,111.55,113.27,111.37,113.07,31247259
2020-07-07,HNXINDEX,113.08,114.47,111.76,113.71,33401474
2020-07-08,HNXINDEX,113.71,114.41,112.67,114.37,25220007
2020-07-09,HNXINDEX,114.37,116.23,114.36,116.16,46286374
2020-07-10,HNXINDEX,116.16,116.67,115.05,115.66,30484831
2020-07-13,HNXINDEX,115.74,116.74,114.84,115.65,29195906
2020-07-14,HNXINDEX,115.65,116.14,115.04,116.14,32272041
2020-07-15,HNXINDEX,116.14,117.19,115.75,115.91,29667165
2020-07-16,HNXINDEX,115.92,116.6,115.1,115.59,31400881
2020-07-17,HNXINDEX,115.59,117.07,114.9,116.81,38928865
2020-07-20,HNXINDEX,116.81,117.08,115.49,115.72,35066577
2020-07-21,HNXINDEX,115.72,116.18,114.45,116.09,32112446
2020-07-22,HNXINDEX,116.16,116.3,114.66,115.32,32172749
2020-07-23,HNXINDEX,115.33,115.35,113.13,113.87,39308356
2020-07-24,HNXINDEX,113.87,114.24,107.74,109.33,68878170
2020-07-27,HNXINDEX,105.67,108.13,102.47,102.85,65042215
2020-07-28,HNXINDEX,102.83,107.98,101.83,107.98,48366160
2020-07-29,HNXINDEX,107.98,107.98,102.8,106.85,52687898
2020-07-30,HNXINDEX,106.85,108.49,105.98,108.1,29112152
2020-07-31,HNXINDEX,108.1,108.29,105.76,107.51,31961232
2020-08-03,HNXINDEX,107.51,110.43,106.69,110.43,42710213
2020-08-04,HNXINDEX,110.43,112.7,110.43,112.5,39699187
2020-08-05,HNXINDEX,112.5,114.28,112.45,114.02,40619101
2020-08-06,HNXINDEX,114.02,114.06,112.6,113.35,40712248
2020-08-07,HNXINDEX,113.35,114.09,112.38,112.78,30593324
2020-08-10,HNXINDEX,112.78,114.1,112.78,113.64,47384720
2020-08-11,HNXINDEX,113.64,116.3,112.71,116.3,48631049
2020-08-12,HNXINDEX,116.3,117.03,115.49,116.1,37596991
2020-08-13,HNXINDEX,116.08,116.87,116.01,116.87,38380885
2020-08-14,HNXINDEX,116.87,117.1,115.09,116.23,48714542
2020-08-17,HNXINDEX,116.23,117.21,115.53,117.21,40873898
2020-08-18,HNXINDEX,117.21,117.73,116.92,117.02,39642689
2020-08-19,HNXINDEX,117.02,119.57,116.76,119.19,51910937
2020-08-20,HNXINDEX,119.19,122.25,119.19,121.18,55289989
2020-08-21,HNXINDEX,121.47,122.73,120.59,122.64,43844161
2020-08-24,HNXINDEX,122.64,124.4,122.2,123.16,48044859
2020-08-25,HNXINDEX,123.16,124.1,122.6,123.37,52589258
2020-08-26,HNXINDEX,123.47,124.28,122.88,123.89,58551701
2020-08-27,HNXINDEX,123.89,125.08,123.61,124.92,42782543
2020-08-28,HNXINDEX,124.92,126.87,124.92,125.84,57458286
2020-08-31,HNXINDEX,125.85,126.69,124.7,124.85,54434086
2020-09-01,HNXINDEX,124.85,125.41,124.0,125.41,44157802
2020-09-03,HNXINDEX,125.41,126.52,124.57,126.05,52274337
